sl,date,artist,album,song,word,sentiment
195,30/11/82,Michael Jackson,thriller,Baby Be Mine,baby,positive
195,30/11/82,Michael Jackson,thriller,Baby Be Mine,baby,joy
195,30/11/82,Michael Jackson,thriller,Baby Be Mine,baby,positive
197,30/11/82,Michael Jackson,thriller,Baby Be Mine,baby,joy
197,30/11/82,Michael Jackson,thriller,Baby Be Mine,baby,positive
197,30/11/82,Michael Jackson,thriller,Baby Be Mine,time,anticipation
198,30/11/82,Michael Jackson,thriller,Baby Be Mine,share,anticipation
198,30/11/82,Michael Jackson,thriller,Baby Be Mine,share,joy
198,30/11/82,Michael Jackson,thriller,Baby Be Mine,share,positive
198,30/11/82,Michael Jackson,thriller,Baby Be Mine,share,trust
198,30/11/82,Michael Jackson,thriller,Baby Be Mine,ecstasy,anticipation
198,30/11/82,Michael Jackson,thriller,Baby Be Mine,ecstasy,joy
198,30/11/82,Michael Jackson,thriller,Baby Be Mine,ecstasy,positive
199,30/11/82,Michael Jackson,thriller,Baby Be Mine,long,anticipation
199,30/11/82,Michael Jackson,thriller,Baby Be Mine,love,joy
199,30/11/82,Michael Jackson,thriller,Baby Be Mine,love,positive
200,30/11/82,Michael Jackson,thriller,Baby Be Mine,reason,positive
200,30/11/82,Michael Jackson,thriller,Baby Be Mine,change,fear
201,30/11/82,Michael Jackson,thriller,Baby Be Mine,guess,surprise
201,30/11/82,Michael Jackson,thriller,Baby Be Mine,thrill,anticipation
201,30/11/82,Michael Jackson,thriller,Baby Be Mine,thrill,fear
201,30/11/82,Michael Jackson,thriller,Baby Be Mine,thrill,joy
201,30/11/82,Michael Jackson,thriller,Baby Be Mine,thrill,positive
201,30/11/82,Michael Jackson,thriller,Baby Be Mine,thrill,surprise
201,30/11/82,Michael Jackson,thriller,Baby Be Mine,baby,joy
201,30/11/82,Michael Jackson,thriller,Baby Be Mine,baby,positive
204,30/11/82,Michael Jackson,thriller,Baby Be Mine,share,anticipation
204,30/11/82,Michael Jackson,thriller,Baby Be Mine,share,joy
204,30/11/82,Michael Jackson,thriller,Baby Be Mine,share,positive
204,30/11/82,Michael Jackson,thriller,Baby Be Mine,share,trust
204,30/11/82,Michael Jackson,thriller,Baby Be Mine,embrace,anticipation
204,30/11/82,Michael Jackson,thriller,Baby Be Mine,embrace,joy
204,30/11/82,Michael Jackson,thriller,Baby Be Mine,embrace,positive
204,30/11/82,Michael Jackson,thriller,Baby Be Mine,embrace,surprise
204,30/11/82,Michael Jackson,thriller,Baby Be Mine,embrace,trust
205,30/11/82,Michael Jackson,thriller,Baby Be Mine,show,trust
205,30/11/82,Michael Jackson,thriller,Baby Be Mine,passion,anticipation
205,30/11/82,Michael Jackson,thriller,Baby Be Mine,passion,joy
205,30/11/82,Michael Jackson,thriller,Baby Be Mine,passion,positive
