Date,Open,High,Low,Close,Adj Close,Volume
2016-10-05,89.199997,89.199997,89.199997,89.199997,89.199997,2
2016-10-06,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-10-07,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-10-10,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-10-13,88.000000,88.000000,86.500000,86.500000,86.500000,1012
2016-10-14,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-10-17,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-10-18,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-10-19,87.599998,87.599998,87.599998,87.599998,87.599998,5
2016-10-20,88.000000,88.699997,88.000000,88.550003,88.550003,6
2016-10-21,88.150002,88.150002,88.150002,88.150002,88.150002,3
2016-10-24,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-10-25,88.650002,88.650002,88.650002,88.650002,88.650002,3
2016-10-26,87.800003,87.800003,87.800003,87.800003,87.800003,2
2016-10-27,87.550003,87.550003,87.550003,87.550003,87.550003,53
2016-10-28,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-11-01,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-11-02,87.000000,87.000000,86.500000,86.550003,86.550003,8
2016-11-03,86.900002,86.949997,86.750000,86.750000,86.750000,184
2016-11-04,86.000000,86.000000,85.400002,85.400002,85.400002,8
2016-11-07,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-11-08,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-11-09,84.300003,84.300003,84.300003,84.300003,84.300003,100
2016-11-10,86.300003,87.400002,86.300003,87.000000,87.000000,9
2016-11-11,85.250000,85.250000,84.500000,84.500000,84.500000,103
2016-11-15,84.000000,84.000000,82.650002,82.800003,82.800003,638
2016-11-16,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-11-17,82.750000,83.000000,82.750000,83.000000,83.000000,120
2016-11-18,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-11-21,82.000000,82.000000,80.500000,80.500000,80.500000,118
2016-11-22,81.199997,81.250000,81.199997,81.250000,81.250000,66
